0.1uf,26,1276-1043-1-ND
1uf 25v BF,26,445-175215-1-ND
10uf 25v BF,21,490-GRJ21BR61E106KE01KCT-ND
BAV23CLT1G,2,BAV23CLT1GOSCT-ND
-- mixed values --,9,732-4978-1-ND
D_Schottky40V,6,CCS15S40L3FCT-ND
Amber_LED,4,732-150060AS75000CT-ND
5V1,1,MMSZ5231B-FDICT-ND
Green_LED,3,732-4971-1-ND
15V,1,DDZ15-7DICT-ND
5A,3,507-1886-1-ND
10A,1,507-1942-1-ND
0A5,1,507-1089-1-ND
FerriteBead,3,490-13269-1-ND
Batt_Ballance,1,455-4228-ND
USB_C_Receptacle_4085,1,2073-USB4085-GF-ACT-ND
10uH,1,SRP1265A-100MCT-ND
4.7uH,1,535-12322-1-ND
2.2uH Thin Film,2,1276-6901-1-ND
DMN65D8L,5,DMN65D8L-7DICT-ND
SSM3K341R,2,SSM3K341RLFCT-ND
BSS84-7-F,1,BSS84-FDICT-ND
5K1,4,13-RC0603FR-135K1LCT-ND
27R,9,13-RC0603FR-1327RLCT-ND
150,4,2019-RK73B2ATTD151JCT-ND
1K,12,311-1.00KHRCT-ND
5K,4,13-RT0603BRE075KLCT-ND
100,4,311-100HRCT-ND
10K,9,CR0603-FX-1002ELFCT-ND
10mR,1,CSR1206FT10L0CT-ND
10K_NTC,1,RMCF0603FT91K0CT-ND
10K*,6,YAG1236CT-ND
1K*,6,YAG1237CT-ND
56K,1,311-56KHRCT-ND
31K6,1,RMCF0603FT31K6CT-ND
1K,4,CAY16-1001F4LFCT-ND
5K,6,CAY16-4991F4LFCT-ND
10K,1,CAY16-1002F4LFCT-ND
PTS526,1,CKN12221-1-ND
FAN3100TSX,3,FAN3100TSXCT-ND
AONR21321,5,785-1797-1-ND
Q294700DSGR,1,296-34984-1-ND
ACS711xLCTR-25AB,2,620-1371-1-ND
IS281-4,2,IS281-4CT-ND
SCF4030-12-0X,1,283-SCF4030-12-04CT-ND
AP33772,1,31-AP33772DKZ-13CT-ND
ISL95808HRZ,2,20-ISL95808HRZ-TCT-ND
AON7522E,4,785-1505-1-ND
LM62CIM3/NOPB,1,LM62CIM3/NOPBCT-ND
AP62250Z6,2,31-AP62250Z6-7CT-ND
dsPIC30F4011-PT,1,DSPIC30F401130IML-ND
FT230XQ,1,768-1130-1-ND
MIC5504-3.3YM5,1,576-4764-1-ND
DMP2240UDM,5,DMP2240UDMDICT-ND
MCP3021,1,MCP3021A5T-E/OTCT-ND
